specimen_id,genus,species,ref_pic,locality,formation,min_age,max_age,format,has_scale
UM-IP-712,Chlupacops,Chlupacops laticeps,Feist et al 2016,NA,NA,Frasnian,NA,tps,True
UM-IP-862,Cronierella,Cronierella gallica,Feist and Klapper 2022,NA,NA,Givetian,NA,tps,True
UM-IP-894,Acutiphacops,Acutiphacops medius,Feist and Klapper 2022,NA,NA,Frasnian,NA,tps,True
UM-IP-906,Occitanella,Occitanella hexagonalis,Feist and Klapper 2022,NA,NA,Frasnian,NA,tps,True
UM-IP-948,Girardina,GirardiNAkonradbartzschi,Feist and Klapper 2022,NA,NA,Frasnian,NA,tps,True
UMC_IP333,Cyrtosymbole,Cyrtosymbole escoti,Feist and Lerosey-Aubril 2005,Cabriires village,Griotte Limestone Formation,Famennian,NA,xml,True
UMMP_31317,Anchiopsis,Anchiopsis anchiops,Stumm 1954,Southwest Ontario,Bois Blanc Formation,Middle Devonian,NA,xml,True
UM_D73,Isbergia,Isbergia parvula,Owens 1978,Kallholn,Boda Limestone,Katian,Katian,xml,True
USMN_775719,Mendoparabolina,Mendoparabolina nyensis,Taylor et al 2024,Ninemile Canyon,Windfall,Stage 10,Stage 10,xml,True
USNM8975,Harpidella,Harpidella spinafrons,Adrain and Chatterton 1995,West Brook,Tully Formation,Givetian,NA,xml,True
USNMPAL_373954,Francovichia,Francovichia branisi,Branisa 1965,Limabamba,NA,Emsian,NA,xml,True
USNM_298961,Dicranopeltis,NA,Thomas & Holloway 1988,Batesville district,St Clair Limestone,Homerian,Sheinwoodian,xml,True
USNM_3245,Pudoproetus,Pudoproetus fernglenensis,Owens 1994,Lake Valley,Lake Valley Limestone,Tournaisian,NA,xml,True
USNM_489773,Cordania,Cordania wessmani,Adrain and Kloc 1997,Wessman Quarry,Haragan,Lochkovian,NA,xml,True
USNM_84799f,Daytonia,Daytonia werthneri,Holloway 1981,Soldiers Home Quarries,Brassfield,Telychian,Telychian,xml,True
USNM_PAL_117876,Crassiproetus,Crassiproetus traversensis,Stumm 1953,Charlevoix,Gravel Point Formation,Givetian,NA,xml,True
USTM_RF_95,Harpes,Harpes neogracillis,Feist and Schindler 1994,Causses et Veyran,Upper KW Horizon,Wenlock,NA,xml,True
Ulg_2011_11_16,Ohleum,Ohleum magreani,Taghon et al 2012,Couvin,Jemelle Formation,Eifelian,NA,xml,True
WAM-07.266,Houseops,Houseops canningensis,Feist et al 2009,NA,NA,Famennian,NA,tps,True
WAM-07.273,Babinops,Babinops minor,Feist et al 2009,South Lawford Range,Virgin Hills Formation,Famennian,NA,tps,True
WAM-07.286,Acuticryphops,Acuticryphops acuticeps,Feist et al 2009,South Lawford Range,Virgin Hills Formation,Frasnian,NA,tps,True
WAM_07.273,,,,,,,,xml,True
WAM_07301,Palpebralia,Palpebralia initialis,Feist and McNamara 2013,Windy Knolls,Virgin Hills Formation,Frasnian,NA,xml,True
WAM_11.230,Chlupaciparia,Chlupaciparia (Australoparia) australis,Feist & Mcnamara 2012,NA,Virgin Hills,Famennian,Frasnian,xml,True
WAM_1140,Rudybole,Rudybole adorfensis,Feist and McNamara 2013,Horse Spring,Virgin Hills Formation,Frasnian,NA,xml,True
WAM_91.316,Pteroparia,Pteroparia extrema,Feist and McNamara 2013,McWhae Ridge,Vigin Hills Formation,Frasnian,NA,xml,True
YPM-6594-4,Paciphacops,Paciphacops logani,Campbell 1977,John Boyd Thacher State Park,New Scotland Formation,Devonian,NA,tps,True
YPM16271,Fragiscutum,Fragiscutum glebale,Edgecombe 1990,Decaturville,Brownsport,Ludfordian,Ludfordian,xml,True
YPM_33805,Proetus,Proetus latifrons,Lieberman 1994,Dudley,Coalbrookdale Formation,Wenlock,NA,xml,True
Z.Pal.Tr11.139,Cummingella,Cummingella carringtonensis,Osmolska 1970,Todowa Grzaba,NA,Visean,NA,xml,True
Zhang-1983-183.13,Tangbailaspis,Tangbailaspis beijiangensis,Zhang 1983,NA,NA,Lower Devonian,NA,tps,False
