specimen_id,genus,species,ref_pic,locality,formation,min_age,max_age,format,has_scale
MACN_PI_2481,Helieranella,Helieranella negritoensis,Baldis et al 1984,Llanos Orientales,Negritos,Tremadocian,Tremadocian,xml,True
MB.T_5501,Archegonus,Archegonus (Phillibole) nehdenensis,Hahm et.al. 2012,Dar Kaoua,NA,Visean,NA,xml,True
MB.T_5505,Cyrtoproetus,Cyrtoproetus (Crassibole) acrops,Hahm et.al. 2012,Tizi Ibaouane,NA,Tournaisian,NA,xml,True
MB.T_5574,Dechenelloides,Dechenelloides tazoultensis,Hahn et.al 2012,NA,NA,Tournasian,NA,xml,True
MCZ103493,Aulacopleura,Aulacopleura koninckii,Hughes and Chapman 1995,Lodnice,Motol Formation,Wenlock,NA,xml,True
MCZ7623-1,Burmeisteria,Burmeisteria accraensis,Saul 1967,Accra,Accraian Series,Lower Devonian,Middle Devonian,xml,True
MCZ_172821,Odontochile,Odontochile hausmanni,Budil et. al 2007,NA,Praha Formation,Pragian,NA,xml,True
MCZ_5445P,Triarthrus,Triarthrus eatoni,Whittington 1957,Trenton,Utica Shale,Dapingian,Hirnantian,xml,True
MCZ_638,Flexicalymene,Flexicalymene celebra,Whittington 1971,Grafton,Racine Dolomite,Gorstian,Homerian,xml,True
MCZ_9034,Mackenziurus,Mackenziurus lauriae,Gass et al 1992,Zimmermann Quarry,Racine Dolomite,Ludlow,Wenlock,xml,True
MGCU451059,Crotalocephalus,Crotalocephalus zinzilbanicus,Owens et al 2010,Zinzilban Sai. ZeraSerra Fhan Range,Khodzhakurgan Formation,Emsian,NA,xml,True
MGCU_48_814,Lioharpes,Lioharpes venulosus,Owens et al 2010,Turkestan Range,Dzhalpak Formation,Lochkovian,NA,xml,True
MGUH243,Radiurus,Radiurus pauli,Hughes 2010,Wulff Land,Djævlekløften,Telychian,Telychian,xml,True
MGUH260,Distyrax,Distyrax bibullus,Hughes 2010,KCL1,Hauge Bjerge,Telychian,Telychian,xml,True
MGUH_229,Cheirurus,Cheirurus falcatus,Hughes 2010,Kronprins Christian Land 5,Samuelsen Høj,Telychian,Telychian,xml,True
MGUH_33662,Eurycare,Eurycare bornholmensis,Nielsen Andersen 2021,Laesa stream,Alum shale,Jiangshanian,Jiangshanian,xml,True
MHNN.P.082761,Colombianaspis,Colombianaspis carvalhoae,Morzadec et al 2015,Quebrada Monticelo,Floresta Formation,Emsian,Emsian,xml,True
MLP_34245,Rossaspis,Rossaspis? sp,Tortello Esteban 2014,Nazareno,Santa Rosita,Tremadocian,NA,xml,True
MMB107,Belenopyge,Belenopyge estevei,Corbacho and Kier 2013,Jebel Oufatene,Ihandar Formation,Pragian,NA,xml,True
MMH11371,Chiozoon,Chiozoon cowiei,Lane 1972,NA,Profilfjeldet Shales,Wenlock,Wenlock,xml,True
MPM26014,Balizoma,Balizoma indianensis,Gass et al 1992,Thornton Quarry,Racine Dolomite,Wenlock,Wenlock,xml,True
MS47,Spiniscutellum,Spiniscutellum umbelliferum,Snajdr 1960,Kosor valley. CerNArokle,Lochkov-beds,Ludlow,NA,xml,True
MS_7390,Orbitoproetus,Orbitoproetus fornicatus,Snajdr 1980,Koneprusy,Acanthopyge Limestone,Eifelian,NA,xml,True
MU-G-Sr.Tr.S7Ph001,Phacops,Phacops ouarouroutensis,Crônier et al 2018,NA,NA,Eifelian,NA,tps,True
MUA-1094-001,Phacops,Phacops tamtertensis,Cronier et al 2013,Zereg,Argiles de Marhouma Formation,Famennian,NA,tps,True
MUGSr_A4_Ph123,Chotecops,Chotecops hoseri,Cronier et al 2016,Saoura Valley,Chefar el Ahmar Formation,Eifelian,NA,xml,True
MUGSr_S7_Ph003,Struveaspis,Struveaspis maroccanica,Cronier et al 2018,Saoura Valley,Chefar el Ahmar Formation,Eifelian,NA,xml,True
MUST-RCSR-TRI-0001,Feistops,Feistops mongoliensis,Crônier et al 2020,NA,NA,Famennian,NA,tps,True
M_1327,Drevermannia,Drevermannia calamicensis,Hahn et.al 1997,Menorca,NA,Tournasian,NA,xml,True
Maksimova-1978-2.1b,Ainasuella,Ainasuella ainasuensis,Maksimova 1978,NA,NA,Lochkovian,NA,tps,True
Maksimova-1978-3.9,Rhinoreedops,Rhinoreedops rhinoceras,Maksimova 1978,NA,NA,Eifelian,NA,tps,True
Mitchell-1919-16.2,Adastocephalum,Adastocephalum teleotypicum,Mitchell 1919,NA,NA,Lower Devonian,NA,tps,True
Morzadec_2001_plate_11_1a,Coltraneia,Coltraneia oufatenensis,Morzadec 2001,coupe dOufatene,El Oftal Formation,Emsian,NA,xml,True
Morzadec_2001_plate_12_2a,Comura,Comura bultyncki,Morzadec 2001,coupe dOufatene,El Oftal Formation,Emsian,NA,xml,True
Morzadec_2001_plate_13_5a,Psychopyge,Psychopyge praestans,Morzadec 2001,Jbel Gara,Timrhanrhart Formation,Emsian,NA,xml,True
